state,district,mandal,village
ANDHRA PRADESH,Adilabad,Adilabad,Adilabad
ANDHRA PRADESH,Adilabad,Tamsi,Tamsi
ANDHRA PRADESH,Adilabad,Tamsi,Karanji (T)
ANDHRA PRADESH,Adilabad,Tamsi,Guledi
ANDHRA PRADESH,Adilabad,Tamsi,Gomutri
ANDHRA PRADESH,Adilabad,Tamsi,Antargaon
ANDHRA PRADESH,Adilabad,Tamsi,Arli (T)
ANDHRA PRADESH,Adilabad,Tamsi,Wadoor
ANDHRA PRADESH,Adilabad,Tamsi,Dhanora
ANDHRA PRADESH,Adilabad,Tamsi,Kamathwada
ANDHRA PRADESH,Adilabad,Tamsi,Gona
ANDHRA PRADESH,Adilabad,Tamsi,Gunjala
ANDHRA PRADESH,Adilabad,Tamsi,Gollaghat
ANDHRA PRADESH,Adilabad,Tamsi,Tamsi (K)
ANDHRA PRADESH,Adilabad,Tamsi,Nipani
ANDHRA PRADESH,Adilabad,Tamsi,Dabbakuchi
ANDHRA PRADESH,Adilabad,Tamsi,Bheempoor
ANDHRA PRADESH,Adilabad,Tamsi,Belsari Rampur
ANDHRA PRADESH,Adilabad,Tamsi,Anderband
ANDHRA PRADESH,Adilabad,Tamsi,Girgaon
ANDHRA PRADESH,Adilabad,Tamsi,Ambugaon
ANDHRA PRADESH,Adilabad,Tamsi,Palodi (Ramnagar)
ANDHRA PRADESH,Adilabad,Tamsi,Wadgaon
ANDHRA PRADESH,Adilabad,Tamsi,Khapperla
ANDHRA PRADESH,Adilabad,Tamsi,Pippalkhoti
ANDHRA PRADESH,Adilabad,Tamsi,Ghotkuri
ANDHRA PRADESH,Adilabad,Tamsi,Savargaon
ANDHRA PRADESH,Adilabad,Tamsi,Bandalnagapur
ANDHRA PRADESH,Adilabad,Tamsi,Jamdi
ANDHRA PRADESH,Adilabad,Tamsi,Tamsi (B)
ANDHRA PRADESH,Adilabad,Tamsi,Waddadi
ANDHRA PRADESH,Adilabad,Tamsi,Hasnapur
ANDHRA PRADESH,Adilabad,Tamsi,Ponnari
ANDHRA PRADESH,Adilabad,Adilabad,Adilabad
ANDHRA PRADESH,Adilabad,Adilabad,Jamdapur
ANDHRA PRADESH,Adilabad,Adilabad,Mallapur
ANDHRA PRADESH,Adilabad,Adilabad,Dimma
ANDHRA PRADESH,Adilabad,Adilabad,Pochara
ANDHRA PRADESH,Adilabad,Adilabad,Tarada  (Srimath)
ANDHRA PRADESH,Adilabad,Adilabad,Rampoor (Royati)
ANDHRA PRADESH,Adilabad,Adilabad,Bheemseri
ANDHRA PRADESH,Adilabad,Adilabad,Chanda
ANDHRA PRADESH,Adilabad,Adilabad,Ganeshpur
ANDHRA PRADESH,Adilabad,Adilabad,Landasangvi
ANDHRA PRADESH,Adilabad,Adilabad,Nishanghat
ANDHRA PRADESH,Adilabad,Adilabad,Arli (Buzurg)
ANDHRA PRADESH,Adilabad,Adilabad,Takli
ANDHRA PRADESH,Adilabad,Adilabad,Kumbhajheri
ANDHRA PRADESH,Adilabad,Adilabad,Ramai
ANDHRA PRADESH,Adilabad,Adilabad,Jamuldhari
ANDHRA PRADESH,Adilabad,Adilabad,Yapalguda
ANDHRA PRADESH,Adilabad,Adilabad,Anukunta
ANDHRA PRADESH,Adilabad,Adilabad,Battisawargaon
ANDHRA PRADESH,Adilabad,Adilabad,Mavala
ANDHRA PRADESH,Adilabad,Adilabad,Kachkanti
ANDHRA PRADESH,Adilabad,Adilabad,Tontoli
ANDHRA PRADESH,Adilabad,Adilabad,Kottur (Nevegaon)
