section,category,subcategory,name,scientific
Horticulture,Fruits,Tropical,Mango,Mangifera indica
Horticulture,Fruits,Tropical,Banana,Musa acuminata & Musa balbisiana
Horticulture,Fruits,Tropical,Sapota,Manilkhara achras
Horticulture,Fruits,Tropical,Papaya,Carica papaya
Horticulture,Fruits,Tropical,Guava,Psidium guajava
Horticulture,Fruits,Tropical,Acid Lime,Citrus aurantifolia
Horticulture,Fruits,Tropical,Sweet Orange,Citrus sinensis
Horticulture,Fruits,Tropical,Mandarin Orange,Citrus reticulata
Horticulture,Fruits,Tropical,Grapes,Vitis vinifera
Horticulture,Fruits,Tropical,Pineapple,Ananas sativus
Horticulture,Fruits,Tropical,Pomegranate,Punica granatum
Horticulture,Fruits,Tropical,Jack,Artocarpus heterophyllus
Horticulture,Fruits,Tropical,Ber,Zizyphus mauritiana
Horticulture,Fruits,Tropical,Amla,Phyllanthus emblica
Horticulture,Fruits,Tropical,Jamun,Syzygium cumini
Horticulture,Fruits,Tropical,Custard Apple,Annona reticulata & Annona squamosa & Annona cherimnoya
Horticulture,Fruits,Tropical,Watermelon,Citrullus lanatus
Horticulture,Fruits,Tropical,Muskmelon,Cucumis melo
Horticulture,Fruits,Tropical,Lemon,Citrus limon
Horticulture,Fruits,Tropical,Rambutan,Nephelium lappaceum
Horticulture,Fruits,Temperate,Apple,Cucumis melo
Horticulture,Fruits,Temperate,Pear,Pyrus communis
Horticulture,Fruits,Temperate,Plum,Prunus salicina
Horticulture,Fruits,Temperate,Peach,Prunus persica
Horticulture,Fruits,Temperate,Fig,Ficus carica
Horticulture,Fruits,Temperate,Kiwi,Actinidia delicious
Horticulture,Fruits,Temperate,Apricot,Prunus americana
Horticulture,Fruits,Others,Litchi,Litchi chinensis
Horticulture,Fruits,Others,Avacado,Persea americana
Horticulture,Fruits,Others,Mangosteen,Garcinia mangostana
Horticulture,Fruits,Others,Straw berry,Fragaria vesca
Horticulture,Fruits,Others,Passion fruit,Passiflora edulis
Horticulture,Fruits,Others,Bilimbi,Averrhoa bilimbi
Horticulture,Fruits,Others,Carambola,Averrhoa carambola
Horticulture,Fruits,Others,Karonda,Carissa caranda
Horticulture,Fruits,Others,Loquat,Eriobotrya japonica
Horticulture,Fruits,Others,Phalsa,Grewia asiatica
Horticulture,Fruits,Others,Mulberry,Morus nigra
Horticulture,Fruits,Others,West Indian Cherry,Malphigia punicifolia
Horticulture,Fruits,Others,Durian,Durio zebethinus
Horticulture,Fruits,Others,Persimmon,Diospyros kaki
Horticulture,Fruits,Others,Bread fruit,Artocarpus incise
Horticulture,Vegetables,Fruit Vegetables,Tomato,Lycopersicon esculentum
Horticulture,Vegetables,Fruit Vegetables,Brinjal,Solanum melongena
Horticulture,Vegetables,Fruit Vegetables,Chilli,Capsicum annuum
Horticulture,Vegetables,Fruit Vegetables,Capsicum,Capsicum annuum
Horticulture,Vegetables,Fruit Vegetables,Paprika,Capsicum annum var longum
Horticulture,Vegetables,Fruit Vegetables,Ridge Gourd,Luffa acutangula
Horticulture,Vegetables,Fruit Vegetables,Bottle Gourd,Lagenaria siceraria
Horticulture,Vegetables,Fruit Vegetables,Bitter Gourd,Momordica charantia
Horticulture,Vegetables,Fruit Vegetables,Ivy Gourd,Coccinia indica
Horticulture,Vegetables,Fruit Vegetables,Snake Gourd,Trichosanthes cucumerina
Horticulture,Vegetables,Fruit Vegetables,Ash Gourd,Benincasa hispida
Horticulture,Vegetables,Fruit Vegetables,Spiny Gourd,Momordica dioica
Horticulture,Vegetables,Fruit Vegetables,Pumpkin,Cucurbita moschata
Horticulture,Vegetables,Fruit Vegetables,Cucumber,Cucumis sativus
Horticulture,Vegetables,Fruit Vegetables,Gherkins,Cucumis sativus var angaria
Horticulture,Vegetables,Fruit Vegetables,Chow Chow,Sechium edule
Horticulture,Vegetables,Fruit Vegetables,Potals,Citrullus vulgaris
Horticulture,Vegetables,Fruit Vegetables,Cluster Beans,Cyamopsis tetragonoloba
Horticulture,Vegetables,Fruit Vegetables,French Beans,Phaseolus vulgaris
Horticulture,Vegetables,Fruit Vegetables,Broad Beans,Vicia faba
Horticulture,Vegetables,Fruit Vegetables,Lab Lab,Lab lab purpureus
Horticulture,Vegetables,Fruit Vegetables,Yard Long Beans,Vigna unguiculata
Horticulture,Vegetables,Fruit Vegetables,Winged Bean,Psophocarpus tetragonalobus
Horticulture,Vegetables,Fruit Vegetables,Peas,Pisum sativum
Horticulture,Vegetables,Fruit Vegetables,Cowpea,Vigna unguiculata
Horticulture,Vegetables,Fruit Vegetables,Okra,Abelmoschus esculentus
Horticulture,Vegetables,Fruit Vegetables,Drumstic,Moringa oleifera
Horticulture,Vegetables,Root & Tuber Vegetables,Carrot,Daucus carota
Horticulture,Vegetables,Root & Tuber Vegetables,Beetroot,Beta vulgaris
Horticulture,Vegetables,Root & Tuber Vegetables,Radish,Raphanus sativus
